title,txt_pl_lem_tokenized
Gdy schodzimy się,"['radować', 'dusza', 'mieć', 'wielbić', 'swój', 'śpiewać', 'siła', 'sławić', 'dzieło', 'śpiewać', 'siła', 'błogosławić', 'imię', 'miłosierny', 'zastęp', 'moc', 'ramię', 'swój', 'lud', 'zbawca']"
GLORIA!!! (Na niedzielę i święta),"['rozpiąć', 'ramię', 'sokół', 'niebo', 'chrystus', 'syn', 'bóg', 'spojrzeć', 'prosić', 'ziemia', 'ruchliwy', 'ulica', 'zabiegany', 'człowiek', 'dzień', 'kończyć', 'ranek', 'budzić', 'uśmiechnąć', 'przyjaźnie', 'wysoki', 'krzyż', 'ciężko', 'pracować', 'głód', 'poniżać', 'rozpiąć', 'ramię', 'sokół', 'niebo', 'chrystus', 'syn', 'bóg', 'spojrzeć', 'prosić', 'ziemia', 'pocieszyć', 'zrozpaczony', 'chleb', 'dać', 'głodować', 'modlić', 'słuchać', 'wybaczyć', 'umierać', 'spojrzeć', 'cierpienie', 'sokoli', 'wszechświat', 'ziemia', 'cichy', 'ciemny', 'kościół', 'dziecko', 'wzywać', 'rozpiąć', 'ramię', 'sokół', 'niebo', 'chrystus', 'syn', 'bóg', 'spojrzeć', 'prosić', 'ziemia', 'sądzić', 'boski', 'miłosierdzie', 'prosić', 'dziecko', 'sądzić', 'miara', 'siebie']"
Godzien o godzien jest Bóg,"['schować', 'skrzydło', 'swój', 'ukryć', 'silny', 'dłoń', 'swój', 'fala', 'morze', 'chcieć', 'porwać', 'wznieść', 'podnieść', 'król', 'tyś', 'spienić', 'woda', 'ufać', 'bóg', 'odpocząć', 'ramię', 'dusza', 'mieć', 'trwać', 'fala', 'morze', 'chcieć', 'porwać', 'wznieść', 'podnieść', 'król', 'tyś', 'spienić', 'woda', 'ufać', 'bóg']"
Gwiazdo zaranna,"['serce', 'wielki', 'dać', 'zdolny', 'objąć', 'świat', 'serce', 'dać', 'mężny', 'walka', 'zło', 'zwlec', 'siebie', 'uczynek', 'stary', 'człowiek', 'zniszczyć', 'budzić', 'boży', 'gniew', 'wdziać', 'biel', 'nowy', 'szata', 'chrystus', 'nowy', 'człowiek', 'powstać', 'serce', 'wielki', 'dać', 'zdolny', 'objąć', 'świat', 'serce', 'dać', 'mężny', 'walka', 'zło', 'nowy', 'człowiek', 'historia', 'wpisać', 'miłość', 'wskazać', 'droga', 'odnowa', 'ludzki', 'serce', 'nowy', 'człowiek', 'przeżyć', 'własny', 'życie', 'tworzyć', 'wspólny', 'wysiłek', 'nowy', 'świat', 'serce', 'wielki', 'dać', 'zdolny', 'objąć', 'świat', 'serce', 'dać', 'mężny', 'walka', 'zło', 'nowy', 'człowiek', 'przynieść', 'ziemia', 'pokój', 'znak', 'wiara', 'jednoczyć', 'świat', 'nowy', 'człowiek', 'przynieść', 'ziemia', 'wolność', 'prawda', 'człowiek', 'wyzwolić', 'niszczyć', 'zło']"
Idź w pokoju,"['spocząć', 'duch', 'duch', 'mądrość', 'rozum', 'duch', 'poznanie', 'bojaźń', 'boży', 'duch', 'miłość', 'moc']"
"Ja wierzę, że to Jezus","['błogosławić', 'wszystek', 'dzieło', 'kwitnąć', 'cierpienie', 'błogosławić', 'błogosławić', 'wszystek', 'łza', 'żal', 'słabość', 'upokorzenie', 'błogosławić', 'błogosławić', 'wszystek', 'rana', 'duch', 'święty', 'stawać', 'balsam', 'błogosławić', 'błogosławić', 'wszystek', 'niemoc', 'ból', 'skrzętnie', 'skrywać', 'bezsenny', 'noc', 'błogosławić', 'błogosławić', 'ufać', 'wciąż', 'uzdrawiać', 'łaska', 'swój', 'deszcz', 'błogosławić']"
Jak Dawid,"['stać', 'drzwi', 'kołatać', 'długo', 'słowo', 'życie', 'wieczny', 'mieć', 'usłyszeć', 'głos', 'drzwi', 'otworzyć', 'trwać', 'wielki', 'miłość', 'cierpliwy', 'wierny', 'łaskawy', 'chcieć', 'wnieść', 'serce', 'wejść', 'zamieszkać', 'dar', 'życie', 'mieć', 'przyjść', 'umocnić', 'byśmy', 'wytrwać', 'miłość']"
Jak dobrze jest dziękować Ci,"['stać', 'swój', 'serce', 'ręka', 'wyciągać', 'podziw', 'dać', 'stać', 'swój', 'dusić', 'składać', 'chcieć']"
Jak ożywczy deszcz,"['swój', 'duch', 'wylać']"
Jak wielki jest Bóg,"['krew', 'grzech', 'odmywać', 'krew', 'czynić', 'biały', 'śnieg', 'krew', 'grzech', 'odmywać', 'baranek', 'święty', 'krew']"
Jeden chleb,"['czas', 'dzień', 'serce', 'bić', 'chwila', 'niespokojnie', 'czekać', 'wiercić', 'koniec', 'przytulić', 'czas', 'dzień', 'serce', 'bić', 'chwila', 'wiedzieć', 'poznać', 'wiedzieć', 'pewno', 'rozpoznać', 'zabrać', 'drugi', 'brzeg', 'niebo', 'biec', 'wcale', 'ciężko', 'wiedzieć', 'koniec', 'droga', 'spotkać', 'chociaż', 'tyle', 'trudny', 'dzień', 'codziennie', 'blisko', 'niebo', 'warto', 'żyć', 'czas', 'dzień', 'serce', 'bić', 'chwila', 'wiedzieć', 'poznać', 'wiedzieć', 'pewno', 'rozpoznać', 'zabrać', 'drugi', 'brzeg', 'niebo', 'biec', 'mijać', 'godzina', 'mijać', 'czas', 'szukać', 'niebo', 'pośród', 'gwiazda', 'wiedzieć', 'poznać', 'wiedzieć', 'pewno', 'rozpoznać', 'zabrać', 'drugi', 'brzeg', 'niebo', 'biec']"
Jeden jest tylko Pan,"['skruszyć', 'złam', 'wypalić', 'byś', 'zostać', 'byś', 'zostać', 'jedynie']"
"Jedyny Pan, prawdziwy Bóg","['tchnąć', 'moc', 'tchnąć', 'miłość', 'przenikać', 'życie', 'serce', 'swój', 'oddawać', 'cześć', 'myśl', 'swój', 'oddawać', 'cześć', 'siła', 'swój', 'oddawać', 'cześć', 'tchnąć', 'moc', 'tchnąć', 'miłość', 'przenikać', 'życie', 'serce', 'swój', 'uwielbić', 'chcieć', 'myśl', 'swój', 'uwielbić', 'chcieć', 'siła', 'swój', 'uwielbić', 'chcieć']"
Jest jedno ciało,"['chór', 'anioł', 'chór', 'anioł', 'śpiewać', 'nowy', 'pieśń', 'chwała', 'baranek', 'alleluja', 'alleluja', 'alleluja', 'chwała', 'cześć']"
Jest zakątek na tej Ziemii,"['światło', 'droga', 'nikt', 'zgasić', 'wiedzieć', 'zgubić', 'jasno', 'świecić', 'ciemność', 'blask', 'swój', 'ogarniać']"
Jesteś blisko mnie (Twoja miłość),"['chleb', 'żywy', 'spożywać', 'umrzeć', 'uwierzyć', 'pragnąć', 'wiek']"
Jesteś Królem,"['błogosławić', 'imię', 'błogosławić', 'imię', 'wywyższyć', 'wszelki', 'chwała', 'cześć', 'tyś', 'jedynie', 'powstać', 'chwalić', 'chwalić', 'wiek', 'powstać', 'chwal', 'bóg', 'wciąż', 'jedynie', 'powstać', 'chwalić', 'chwalić', 'wiek', 'powstać', 'chwal', 'bóg', 'wciąż', 'wszechświat']"
Jesteś życiem mym,"['dobry', 'łaska', 'trwać', 'wiecznie', 'człowiek', 'wszystek', 'naród', 'rasa', 'pokolenie', 'pokolenie', 'wielbić', 'alleluja', 'alleluja', 'wielbić', 'dobroć', 'dobry']"
Jezu mój Jezu,"['skała', 'zbawienie', 'mieć', 'siła', 'moc', 'tyś', 'nadzieja', 'natchnienie', 'wznosić', 'głos', 'pan', 'wierzyć', 'wierzyć', 'miłość', 'wierny', 'tyś', 'pomoc', 'potrzeba', 'chcieć']"
Jezu Tyś jest,"['drogi', 'pomyć', 'los', 'zły', 'oko', 'mgły', 'zasnuć', 'mieć', 'siebie', 'ufność', 'lękać', 'gniew', 'świat', 'przysłonić', 'zazdrość', 'chwast', 'zakiełkować', 'mieć', 'siebie', 'ufność', 'lękać', 'poprowadzić', 'powierzać', 'droga', 'poprowadzić', 'poprowadzić', 'prowadzić', 'droga', 'prosty', 'możliwy', 'pokazać', 'głos', 'usłyszeć', 'karmić', 'dzień', 'mieć', 'siebie', 'ufność', 'lękać', 'poprowadzić', 'powierzać', 'droga', 'poprowadzić']"
Jezus Chrystus moim Panem jest,"['wskazać', 'droga', 'miłość', 'zmienić', 'świat', 'swój', 'zmartwychwstanie', 'wiedzieć', 'serce', 'dziać', 'oddać', 'życie', 'wszystek', 'bliski', 'stopa', 'świat', 'wiedzieć', 'czekać', 'serce', 'dzień', 'noc', 'oko', 'niewidoczny', 'wiedzieć', 'serce', 'dziać', 'móc', 'pomóc']"
